index,row,propertyTableColumn,DatabaseTableName,lookupCode,formatHashColumn
57,Construction - ICFs (Insulated Concrete Forms),ConstructionType,construction_type,constructiontype56,"{table: :Construction_Type, code: 'constructiontype', label: 'ICFs (Insulated Concrete Forms)'}"
58,Construction - Log,ConstructionType,construction_type,constructiontype57,"{table: :Construction_Type, code: 'constructiontype', label: 'Log'}"
59,Construction - Manufactured (Post-1976),ConstructionType,construction_type,constructiontype58,"{table: :Construction_Type, code: 'constructiontype', label: 'Manufactured (Post-1976)'}"
60,Construction - Mobile (Pre-1976),ConstructionType,construction_type,constructiontype59,"{table: :Construction_Type, code: 'constructiontype', label: 'Mobile (Pre-1976)'}"
61,Construction - Modular,ConstructionType,construction_type,constructiontype60,"{table: :Construction_Type, code: 'constructiontype', label: 'Modular'}"
62,Construction - Straw,ConstructionType,construction_type,constructiontype61,"{table: :Construction_Type, code: 'constructiontype', label: 'Straw'}"
63,Construction - Timber Frame,ConstructionType,construction_type,constructiontype62,"{table: :Construction_Type, code: 'constructiontype', label: 'Timber Frame'}"
64,Construction - Steel Frame,ConstructionType,construction_type,constructiontype63,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel Frame'}"
65,Construction - On Permanent Foundation,ConstructionType,construction_type,constructiontype64,"{table: :Construction_Type, code: 'constructiontype', label: 'On Permanent Foundation'}"
66,Construction - Mobile/Manufactured,ConstructionType,construction_type,constructiontype65,"{table: :Construction_Type, code: 'constructiontype', label: 'Mobile/Manufactured'}"
67,Construction - Structured Insulated Panels,ConstructionType,construction_type,constructiontype66,"{table: :Construction_Type, code: 'constructiontype', label: 'Structured Insulated Panels'}"
69,Exterior Siding - Asbestos,ConstructionType,construction_type,constructiontype68,"{table: :Construction_Type, code: 'constructiontype', label: 'Asbestos'}"
70,Exterior Siding - Aluminum,ConstructionType,construction_type,constructiontype69,"{table: :Construction_Type, code: 'constructiontype', label: 'Aluminum'}"
71,Exterior Siding - Block,ConstructionType,construction_type,constructiontype70,"{table: :Construction_Type, code: 'constructiontype', label: 'Block'}"
72,Exterior Siding - Brick,ConstructionType,construction_type,constructiontype71,"{table: :Construction_Type, code: 'constructiontype', label: 'Brick'}"
73,Exterior Siding - Cedar,ConstructionType,construction_type,constructiontype72,"{table: :Construction_Type, code: 'constructiontype', label: 'Cedar'}"
74,Exterior Siding - Cedar Shake,ConstructionType,construction_type,constructiontype73,"{table: :Construction_Type, code: 'constructiontype', label: 'Cedar Shake'}"
75,Exterior Siding - Cement Fiber,ConstructionType,construction_type,constructiontype74,"{table: :Construction_Type, code: 'constructiontype', label: 'Cement Fiber'}"
76,Exterior Siding - Combination,ConstructionType,construction_type,constructiontype75,"{table: :Construction_Type, code: 'constructiontype', label: 'Combination'}"
77,Exterior Siding - Composite Wood,ConstructionType,construction_type,constructiontype76,"{table: :Construction_Type, code: 'constructiontype', label: 'Composite Wood'}"
78,Exterior Siding - Concrete,ConstructionType,construction_type,constructiontype77,"{table: :Construction_Type, code: 'constructiontype', label: 'Concrete'}"
79,Exterior Siding - Hardboard,ConstructionType,construction_type,constructiontype78,"{table: :Construction_Type, code: 'constructiontype', label: 'Hardboard'}"
80,Exterior Siding - Log,ConstructionType,construction_type,constructiontype79,"{table: :Construction_Type, code: 'constructiontype', label: 'Log'}"
81,Exterior Siding - Log Siding,ConstructionType,construction_type,constructiontype80,"{table: :Construction_Type, code: 'constructiontype', label: 'Log Siding'}"
82,Exterior Siding - Shingle,ConstructionType,construction_type,constructiontype81,"{table: :Construction_Type, code: 'constructiontype', label: 'Shingle'}"
83,Exterior Siding - Steel,ConstructionType,construction_type,constructiontype82,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel'}"
84,Exterior Siding - Stone,ConstructionType,construction_type,constructiontype83,"{table: :Construction_Type, code: 'constructiontype', label: 'Stone'}"
85,Exterior Siding - Stucco,ConstructionType,construction_type,constructiontype84,"{table: :Construction_Type, code: 'constructiontype', label: 'Stucco'}"
86,Exterior Siding - Vinyl,ConstructionType,construction_type,constructiontype85,"{table: :Construction_Type, code: 'constructiontype', label: 'Vinyl'}"
87,Exterior Siding - Wood,ConstructionType,construction_type,constructiontype86,"{table: :Construction_Type, code: 'constructiontype', label: 'Wood'}"
88,Exterior Siding - Aluminum Siding,ConstructionType,construction_type,constructiontype87,"{table: :Construction_Type, code: 'constructiontype', label: 'Aluminum Siding'}"
89,Exterior Siding - Shingle Siding,ConstructionType,construction_type,constructiontype88,"{table: :Construction_Type, code: 'constructiontype', label: 'Shingle Siding'}"
90,Exterior Siding - Steel Siding,ConstructionType,construction_type,constructiontype89,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel Siding'}"
91,Exterior Siding - Vinyl Siding,ConstructionType,construction_type,constructiontype90,"{table: :Construction_Type, code: 'constructiontype', label: 'Vinyl Siding'}"
92,Exterior Siding - Wood Siding,ConstructionType,construction_type,constructiontype91,"{table: :Construction_Type, code: 'constructiontype', label: 'Wood Siding'}"
94,Garage/Type Stalls - None,ParkingType,parking_type,parkingtype93,"{table: :Parking_Type, code: 'parkingtype', label: 'None'}"
95,Garage/Type Stalls - Attached-1 Stall,ParkingType,parking_type,parkingtype94,"{table: :Parking_Type, code: 'parkingtype', label: 'Attached-1 Stall'}"
96,Garage/Type Stalls - Attached-2 Stalls,ParkingType,parking_type,parkingtype95,"{table: :Parking_Type, code: 'parkingtype', label: 'Attached-2 Stalls'}"
97,Garage/Type Stalls - Attached-3 Stalls,ParkingType,parking_type,parkingtype96,"{table: :Parking_Type, code: 'parkingtype', label: 'Attached-3 Stalls'}"
98,Garage/Type Stalls - Attached-4 Stalls,ParkingType,parking_type,parkingtype97,"{table: :Parking_Type, code: 'parkingtype', label: 'Attached-4 Stalls'}"
99,Garage/Type Stalls - Carport-1 Stall,ParkingType,parking_type,parkingtype98,"{table: :Parking_Type, code: 'parkingtype', label: 'Carport-1 Stall'}"
100,Garage/Type Stalls - Carport-2 Stalls,ParkingType,parking_type,parkingtype99,"{table: :Parking_Type, code: 'parkingtype', label: 'Carport-2 Stalls'}"
101,Garage/Type Stalls - Detached-1 Stall,ParkingType,parking_type,parkingtype100,"{table: :Parking_Type, code: 'parkingtype', label: 'Detached-1 Stall'}"
102,Garage/Type Stalls - Detached-2 Stalls,ParkingType,parking_type,parkingtype101,"{table: :Parking_Type, code: 'parkingtype', label: 'Detached-2 Stalls'}"
103,Garage/Type Stalls - Detached-3 Stalls,ParkingType,parking_type,parkingtype102,"{table: :Parking_Type, code: 'parkingtype', label: 'Detached-3 Stalls'}"
104,Garage/Type Stalls - Detached-4 Stalls,ParkingType,parking_type,parkingtype103,"{table: :Parking_Type, code: 'parkingtype', label: 'Detached-4 Stalls'}"
106,Fireplace Type - Electric,FireplaceType,fireplace_type,fireplacetype105,"{table: :Fireplace_Type, code: 'fireplacetype', label: 'Electric'}"
107,Fireplace Type - Gas,FireplaceType,fireplace_type,fireplacetype106,"{table: :Fireplace_Type, code: 'fireplacetype', label: 'Gas'}"
108,Fireplace Type - Wood,FireplaceType,fireplace_type,fireplacetype107,"{table: :Fireplace_Type, code: 'fireplacetype', label: 'Wood'}"
109,Fireplace Type - None,FireplaceType,fireplace_type,fireplacetype108,"{table: :Fireplace_Type, code: 'fireplacetype', label: 'None'}"
111,Heating Stove Type - Coal,HeatingType,heating_type,heatingtype110,"{table: :Heating_Type, code: 'heatingtype', label: 'Coal'}"
112,Heating Stove Type - Corn,HeatingType,heating_type,heatingtype111,"{table: :Heating_Type, code: 'heatingtype', label: 'Corn'}"
113,Heating Stove Type - Electric,HeatingType,heating_type,heatingtype112,"{table: :Heating_Type, code: 'heatingtype', label: 'Electric'}"
114,Heating Stove Type - Gas,HeatingType,heating_type,heatingtype113,"{table: :Heating_Type, code: 'heatingtype', label: 'Gas'}"
115,Heating Stove Type - Pellet,HeatingType,heating_type,heatingtype114,"{table: :Heating_Type, code: 'heatingtype', label: 'Pellet'}"
116,Heating Stove Type - Wood,HeatingType,heating_type,heatingtype115,"{table: :Heating_Type, code: 'heatingtype', label: 'Wood'}"
117,Heating Stove Type - None,HeatingType,heating_type,heatingtype116,"{table: :Heating_Type, code: 'heatingtype', label: 'None'}"
119,Exterior Features - Acreage Fenced,ExteriorFeature,exterior_feature,exteriorfeature118,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Acreage Fenced'}"
120,Exterior Features - Adj to BLM,ExteriorFeature,exterior_feature,exteriorfeature119,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Adj to BLM'}"
121,Exterior Features - Adj to Bureau of Reclamation,ExteriorFeature,exterior_feature,exteriorfeature120,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Adj to Bureau of Reclamation'}"
122,Exterior Features - Adj to National Forest,ExteriorFeature,exterior_feature,exteriorfeature121,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Adj to National Forest'}"
123,Exterior Features - Adj to State Land,ExteriorFeature,exterior_feature,exteriorfeature122,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Adj to State Land'}"
124,Exterior Features - Barn,ExteriorFeature,exterior_feature,exteriorfeature123,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Barn'}"
125,Exterior Features - Cable,ExteriorFeature,exterior_feature,exteriorfeature124,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Cable'}"
126,Exterior Features - Chain Link Fence,ExteriorFeature,exterior_feature,exteriorfeature125,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Chain Link Fence'}"
127,Exterior Features - Concrete Ditches,ExteriorFeature,exterior_feature,exteriorfeature126,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Concrete Ditches'}"
128,Exterior Features - Corner Lot,ExteriorFeature,exterior_feature,exteriorfeature127,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Corner Lot'}"
129,Exterior Features - Corrals,ExteriorFeature,exterior_feature,exteriorfeature128,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Corrals'}"
130,Exterior Features - Covered Deck,ExteriorFeature,exterior_feature,exteriorfeature129,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Covered Deck'}"
131,Exterior Features - Covered Patio,ExteriorFeature,exterior_feature,exteriorfeature130,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Covered Patio'}"
132,Exterior Features - Creek,ExteriorFeature,exterior_feature,exteriorfeature131,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Creek'}"
133,Exterior Features - Cul-de-Sac,ExteriorFeature,exterior_feature,exteriorfeature132,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Cul-de-Sac'}"
134,Exterior Features - Deck,ExteriorFeature,exterior_feature,exteriorfeature133,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Deck'}"
135,Exterior Features - Dirt Ditches,ExteriorFeature,exterior_feature,exteriorfeature134,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Dirt Ditches'}"
136,Exterior Features - Fenced Yard,ExteriorFeature,exterior_feature,exteriorfeature135,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Fenced Yard'}"
137,Exterior Features - Fishing,ExteriorFeature,exterior_feature,exteriorfeature136,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Fishing'}"
138,Exterior Features - Flat Terrain,ExteriorFeature,exterior_feature,exteriorfeature137,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Flat Terrain'}"
139,Exterior Features - Garden,ExteriorFeature,exterior_feature,exteriorfeature138,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Garden'}"
140,Exterior Features - Golf Course Lot,ExteriorFeature,exterior_feature,exteriorfeature139,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Golf Course Lot'}"
141,Exterior Features - Greenhouse,ExteriorFeature,exterior_feature,exteriorfeature140,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Greenhouse'}"
142,Exterior Features - Guest House,ExteriorFeature,exterior_feature,exteriorfeature141,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Guest House'}"
143,Exterior Features - Hand Line,ExteriorFeature,exterior_feature,exteriorfeature142,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Hand Line'}"
144,Exterior Features - Horse Property,ExteriorFeature,exterior_feature,exteriorfeature143,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Horse Property'}"
145,Exterior Features - Hot Tub,ExteriorFeature,exterior_feature,exteriorfeature144,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Hot Tub'}"
146,Exterior Features - Hunting,ExteriorFeature,exterior_feature,exteriorfeature145,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Hunting'}"
147,Exterior Features - Irrigated,ExteriorFeature,exterior_feature,exteriorfeature146,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Irrigated'}"
148,Exterior Features - Kennel (Dog),ExteriorFeature,exterior_feature,exteriorfeature147,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Kennel (Dog)'}"
149,Exterior Features - Lake View,ExteriorFeature,exterior_feature,exteriorfeature148,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Lake View'}"
150,Exterior Features - Landscaping,ExteriorFeature,exterior_feature,exteriorfeature149,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Landscaping'}"
151,Exterior Features - Loafing Shed,ExteriorFeature,exterior_feature,exteriorfeature150,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Loafing Shed'}"
152,Exterior Features - Mountain View,ExteriorFeature,exterior_feature,exteriorfeature151,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Mountain View'}"
153,Exterior Features - Natural Gas to Property,ExteriorFeature,exterior_feature,exteriorfeature152,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Natural Gas to Property'}"
154,Exterior Features - Patio,ExteriorFeature,exterior_feature,exteriorfeature153,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Patio'}"
155,Exterior Features - Pivot Irrigated,ExteriorFeature,exterior_feature,exteriorfeature154,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Pivot Irrigated'}"
156,Exterior Features - Pond,ExteriorFeature,exterior_feature,exteriorfeature155,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Pond'}"
157,Exterior Features - Pool,ExteriorFeature,exterior_feature,exteriorfeature156,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Pool'}"
158,Exterior Features - Porch,ExteriorFeature,exterior_feature,exteriorfeature157,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Porch'}"
159,Exterior Features - Production Ground,ExteriorFeature,exterior_feature,exteriorfeature158,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Production Ground'}"
160,Exterior Features - Recreational,ExteriorFeature,exterior_feature,exteriorfeature159,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Recreational'}"
161,Exterior Features - River Frontage,ExteriorFeature,exterior_feature,exteriorfeature160,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'River Frontage'}"
162,Exterior Features - Rolling Terrain,ExteriorFeature,exterior_feature,exteriorfeature161,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Rolling Terrain'}"
163,Exterior Features - RV Parking,ExteriorFeature,exterior_feature,exteriorfeature162,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'RV Parking'}"
164,Exterior Features - Shop,ExteriorFeature,exterior_feature,exteriorfeature163,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Shop'}"
165,Exterior Features - Spring,ExteriorFeature,exterior_feature,exteriorfeature164,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Spring'}"
166,"Exterior Features - Sprinklers, Auto",ExteriorFeature,exterior_feature,exteriorfeature165,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Sprinklers, Auto'}"
167,"Exterior Features - Sprinklers, Manual",ExteriorFeature,exterior_feature,exteriorfeature166,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Sprinklers, Manual'}"
168,Exterior Features - Storage Building,ExteriorFeature,exterior_feature,exteriorfeature167,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Storage Building'}"
169,Exterior Features - Wooded Acreage,ExteriorFeature,exterior_feature,exteriorfeature168,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Wooded Acreage'}"
170,Exterior Features - None,ExteriorFeature,exterior_feature,exteriorfeature169,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'None'}"
171,Exterior Features - Deck/Patio,ExteriorFeature,exterior_feature,exteriorfeature170,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Deck/Patio'}"
173,Interior Features - Attic Fan,InteriorFeature,interior_feature,interiorfeature172,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Attic Fan'}"
174,Interior Features - Breakfast Bar,InteriorFeature,interior_feature,interiorfeature173,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Breakfast Bar'}"
175,Interior Features - Breakfast Nook,InteriorFeature,interior_feature,interiorfeature174,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Breakfast Nook'}"
176,Interior Features - Ceiling Fan(s),InteriorFeature,interior_feature,interiorfeature175,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Ceiling Fan(s)'}"
177,Interior Features - Central Vacuum System,InteriorFeature,interior_feature,interiorfeature176,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Central Vacuum System'}"
178,Interior Features - Disposal,InteriorFeature,interior_feature,interiorfeature177,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Disposal'}"
179,Interior Features - Garage Door Opener,InteriorFeature,interior_feature,interiorfeature178,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Garage Door Opener'}"
180,Interior Features - Handicap Access,InteriorFeature,interior_feature,interiorfeature179,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Handicap Access'}"
181,Interior Features - Home Theater,InteriorFeature,interior_feature,interiorfeature180,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Home Theater'}"
182,Interior Features - Home Warranty,InteriorFeature,interior_feature,interiorfeature181,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Home Warranty'}"
183,Interior Features - Hot Tub,InteriorFeature,interior_feature,interiorfeature182,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Hot Tub'}"
184,Interior Features - Jetted Tub,InteriorFeature,interior_feature,interiorfeature183,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Jetted Tub'}"
185,Interior Features - Loft,InteriorFeature,interior_feature,interiorfeature184,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Loft'}"
186,Interior Features - Mud Room,InteriorFeature,interior_feature,interiorfeature185,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Mud Room'}"
187,Interior Features - Pantry,InteriorFeature,interior_feature,interiorfeature186,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Pantry'}"
188,Interior Features - Porch,InteriorFeature,interior_feature,interiorfeature187,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Porch'}"
189,Interior Features - RO System,InteriorFeature,interior_feature,interiorfeature188,"{table: :Interior_Feature, code: 'interiorfeature', label: 'RO System'}"
190,Interior Features - Satellite Dish,InteriorFeature,interior_feature,interiorfeature189,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Satellite Dish'}"
191,Interior Features - Sauna,InteriorFeature,interior_feature,interiorfeature190,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Sauna'}"
192,Interior Features - Security System,InteriorFeature,interior_feature,interiorfeature191,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Security System'}"
193,Interior Features - Skylights,InteriorFeature,interior_feature,interiorfeature192,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Skylights'}"
194,Interior Features - Sump Pump,InteriorFeature,interior_feature,interiorfeature193,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Sump Pump'}"
