index,row,propertyTableColumn,DatabaseTableName,lookupCode,formatHashColumn
248,Sewer - Connected to City Sewer,SewerType,sewer_type,sewertype247,"{table: :Sewer_Type, code: 'sewertype', label: 'Connected to City Sewer'}"
249,Sewer - Engineered Septic,SewerType,sewer_type,sewertype248,"{table: :Sewer_Type, code: 'sewertype', label: 'Engineered Septic'}"
250,Sewer - Mound Septic,SewerType,sewer_type,sewertype249,"{table: :Sewer_Type, code: 'sewertype', label: 'Mound Septic'}"
251,Sewer - None,SewerType,sewer_type,sewertype250,"{table: :Sewer_Type, code: 'sewertype', label: 'None'}"
252,Sewer - Red Lodge,SewerType,sewer_type,sewertype251,"{table: :Sewer_Type, code: 'sewertype', label: 'Red Lodge'}"
253,Sewer - Septic Needed,SewerType,sewer_type,sewertype252,"{table: :Sewer_Type, code: 'sewertype', label: 'Septic Needed'}"
254,Sewer - Septic Tank,SewerType,sewer_type,sewertype253,"{table: :Sewer_Type, code: 'sewertype', label: 'Septic Tank'}"
255,Sewer - Shared Septic,SewerType,sewer_type,sewertype254,"{table: :Sewer_Type, code: 'sewertype', label: 'Shared Septic'}"
257,Type of Leased Land - BLM,LandType,land_type,landtype256,"{table: :Land_Type, code: 'landtype', label: 'BLM'}"
258,Type of Leased Land - Bureau of Reclamation,LandType,land_type,landtype257,"{table: :Land_Type, code: 'landtype', label: 'Bureau of Reclamation'}"
259,Type of Leased Land - Forest Services,LandType,land_type,landtype258,"{table: :Land_Type, code: 'landtype', label: 'Forest Services'}"
260,Type of Leased Land - Private,LandType,land_type,landtype259,"{table: :Land_Type, code: 'landtype', label: 'Private'}"
261,Type of Leased Land - State,LandType,land_type,landtype260,"{table: :Land_Type, code: 'landtype', label: 'State'}"
262,Type of Leased Land - None,LandType,land_type,landtype261,"{table: :Land_Type, code: 'landtype', label: 'None'}"
264,Topography - Flat,LandType,land_type,landtype263,"{table: :Land_Type, code: 'landtype', label: 'Flat'}"
265,Topography - Mountainous,LandType,land_type,landtype264,"{table: :Land_Type, code: 'landtype', label: 'Mountainous'}"
266,Topography - Rolling,LandType,land_type,landtype265,"{table: :Land_Type, code: 'landtype', label: 'Rolling'}"
267,Topography - Steep,LandType,land_type,landtype266,"{table: :Land_Type, code: 'landtype', label: 'Steep'}"
269,Leases and Permits - BLM,ExteriorFeature,exterior_feature,exteriorfeature268,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'BLM'}"
270,Leases and Permits - State,ExteriorFeature,exterior_feature,exteriorfeature269,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'State'}"
271,Leases and Permits - Forest Service,ExteriorFeature,exterior_feature,exteriorfeature270,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Forest Service'}"
272,Leases and Permits - Private,ExteriorFeature,exterior_feature,exteriorfeature271,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Private'}"
273,Leases and Permits - None,ExteriorFeature,exterior_feature,exteriorfeature272,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'None'}"
274,Leases and Permits - Other-See Remarks,ExteriorFeature,exterior_feature,exteriorfeature273,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Other-See Remarks'}"
276,Water Rights - Well,WaterSource,water_source,watersource275,"{table: :Water_Source, code: 'watersource', label: 'Well'}"
277,Water Rights - Surface,WaterSource,water_source,watersource276,"{table: :Water_Source, code: 'watersource', label: 'Surface'}"
278,Water Rights - Territorial,WaterSource,water_source,watersource277,"{table: :Water_Source, code: 'watersource', label: 'Territorial'}"
279,Water Rights - Reservoir,WaterSource,water_source,watersource278,"{table: :Water_Source, code: 'watersource', label: 'Reservoir'}"
280,Water Rights - Water District,WaterSource,water_source,watersource279,"{table: :Water_Source, code: 'watersource', label: 'Water District'}"
281,Water Rights - None,WaterSource,water_source,watersource280,"{table: :Water_Source, code: 'watersource', label: 'None'}"
282,Water Rights - Other-See Remarks,WaterSource,water_source,watersource281,"{table: :Water_Source, code: 'watersource', label: 'Other-See Remarks'}"
284,Business Type - Accounting,Style,style,style283,"{table: :Style, code: 'style', label: 'Accounting'}"
285,Business Type - Agriculture,Style,style,style284,"{table: :Style, code: 'style', label: 'Agriculture'}"
286,Business Type - Appliances,Style,style,style285,"{table: :Style, code: 'style', label: 'Appliances'}"
287,Business Type - Appraisal,Style,style,style286,"{table: :Style, code: 'style', label: 'Appraisal'}"
288,Business Type - Auto Repair-Speclty,Style,style,style287,"{table: :Style, code: 'style', label: 'Auto Repair-Speclty'}"
289,Business Type - Auto Sales,Style,style,style288,"{table: :Style, code: 'style', label: 'Auto Sales'}"
290,Business Type - Liquor Store,Style,style,style289,"{table: :Style, code: 'style', label: 'Liquor Store'}"
291,Business Type - Bed & Breakfast,Style,style,style290,"{table: :Style, code: 'style', label: 'Bed & Breakfast'}"
292,Business Type - Campground,Style,style,style291,"{table: :Style, code: 'style', label: 'Campground'}"
293,Business Type - Car Wash,Style,style,style292,"{table: :Style, code: 'style', label: 'Car Wash'}"
294,Business Type - Construction/Contractor,Style,style,style293,"{table: :Style, code: 'style', label: 'Construction/Contractor'}"
295,Business Type - Convenience Store,Style,style,style294,"{table: :Style, code: 'style', label: 'Convenience Store'}"
296,Business Type - Electrical,Style,style,style295,"{table: :Style, code: 'style', label: 'Electrical'}"
297,Business Type - Furniture,Style,style,style296,"{table: :Style, code: 'style', label: 'Furniture'}"
298,Business Type - Gas Station,Style,style,style297,"{table: :Style, code: 'style', label: 'Gas Station'}"
299,Business Type - Hair Salon,Style,style,style298,"{table: :Style, code: 'style', label: 'Hair Salon'}"
300,Business Type - Heat/Air Conditioning,Style,style,style299,"{table: :Style, code: 'style', label: 'Heat/Air Conditioning'}"
301,Business Type - Hotel/Motel,Style,style,style300,"{table: :Style, code: 'style', label: 'Hotel/Motel'}"
302,Business Type - Industrial,Style,style,style301,"{table: :Style, code: 'style', label: 'Industrial'}"
303,Business Type - Laundromat,Style,style,style302,"{table: :Style, code: 'style', label: 'Laundromat'}"
304,Business Type - Lumber,Style,style,style303,"{table: :Style, code: 'style', label: 'Lumber'}"
305,Business Type - Manufacturing,Style,style,style304,"{table: :Style, code: 'style', label: 'Manufacturing'}"
306,Business Type - Medical,Style,style,style305,"{table: :Style, code: 'style', label: 'Medical'}"
307,Business Type - Mobile Home Park,Style,style,style306,"{table: :Style, code: 'style', label: 'Mobile Home Park'}"
308,Business Type - Outfitting,Style,style,style307,"{table: :Style, code: 'style', label: 'Outfitting'}"
309,Business Type - Photography,Style,style,style308,"{table: :Style, code: 'style', label: 'Photography'}"
310,Business Type - Plumbing,Style,style,style309,"{table: :Style, code: 'style', label: 'Plumbing'}"
311,Business Type - Professional/Office,Style,style,style310,"{table: :Style, code: 'style', label: 'Professional/Office'}"
312,Business Type - Real Estate,Style,style,style311,"{table: :Style, code: 'style', label: 'Real Estate'}"
313,Business Type - Restaurant,Style,style,style312,"{table: :Style, code: 'style', label: 'Restaurant'}"
314,Business Type - Retail,Style,style,style313,"{table: :Style, code: 'style', label: 'Retail'}"
315,Business Type - Storage,Style,style,style314,"{table: :Style, code: 'style', label: 'Storage'}"
316,Business Type - Veterinary,Style,style,style315,"{table: :Style, code: 'style', label: 'Veterinary'}"
317,Business Type - Video,Style,style,style316,"{table: :Style, code: 'style', label: 'Video'}"
318,Business Type - Bar/Tavern/Lounge,Style,style,style317,"{table: :Style, code: 'style', label: 'Bar/Tavern/Lounge'}"
319,Business Type - Other,Style,style,style318,"{table: :Style, code: 'style', label: 'Other'}"
321,Commercial Features - 220 Volt,InteriorFeature,interior_feature,interiorfeature320,"{table: :Interior_Feature, code: 'interiorfeature', label: '220 Volt'}"
322,Commercial Features - 3-Phase Electric,InteriorFeature,interior_feature,interiorfeature321,"{table: :Interior_Feature, code: 'interiorfeature', label: '3-Phase Electric'}"
323,Commercial Features - DSL/Cable,InteriorFeature,interior_feature,interiorfeature322,"{table: :Interior_Feature, code: 'interiorfeature', label: 'DSL/Cable'}"
324,Commercial Features - Elevator,InteriorFeature,interior_feature,interiorfeature323,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Elevator'}"
325,Commercial Features - Fiber Optic,InteriorFeature,interior_feature,interiorfeature324,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Fiber Optic'}"
326,Commercial Features - Handicapped Access,InteriorFeature,interior_feature,interiorfeature325,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Handicapped Access'}"
327,Commercial Features - Security System,InteriorFeature,interior_feature,interiorfeature326,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Security System'}"
328,Commercial Features - Specialty Equipment,InteriorFeature,interior_feature,interiorfeature327,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Specialty Equipment'}"
329,Commercial Features - None,InteriorFeature,interior_feature,interiorfeature328,"{table: :Interior_Feature, code: 'interiorfeature', label: 'None'}"
330,Commercial Features - Dock,ExteriorFeature,exterior_feature,exteriorfeature329,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Dock'}"
331,Commercial Features - Rail Spur,ExteriorFeature,exterior_feature,exteriorfeature330,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Rail Spur'}"
333,Parking Availability - Alley,ParkingType,parking_type,parkingtype332,"{table: :Parking_Type, code: 'parkingtype', label: 'Alley'}"
334,Parking Availability - Private Lot,ParkingType,parking_type,parkingtype333,"{table: :Parking_Type, code: 'parkingtype', label: 'Private Lot'}"
335,Parking Availability - Public Lot,ParkingType,parking_type,parkingtype334,"{table: :Parking_Type, code: 'parkingtype', label: 'Public Lot'}"
336,Parking Availability - Street,ParkingType,parking_type,parkingtype335,"{table: :Parking_Type, code: 'parkingtype', label: 'Street'}"
338,Miscellaneous - P & L/Cash Flow Available,ExteriorFeature,exterior_feature,exteriorfeature337,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'P & L/Cash Flow Available'}"
339,Miscellaneous - Licenses/Permits Required,ExteriorFeature,exterior_feature,exteriorfeature338,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Licenses/Permits Required'}"
340,Miscellaneous - Seller Will Train,ExteriorFeature,exterior_feature,exteriorfeature339,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Seller Will Train'}"
341,Miscellaneous - Franchise,ExteriorFeature,exterior_feature,exteriorfeature340,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Franchise'}"
342,Miscellaneous - Building Currently Leased,ExteriorFeature,exterior_feature,exteriorfeature341,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Building Currently Leased'}"
